Depth,S1,S2,S3,TOC,PP,Tmax,classes
2040,0.11,4,0.5,1.42,4.11,424,Good/Good
2043,0.13,3.76,0.41,1.38,3.89,423,Fair/Good
2046,0.1,3.1,0.46,1.13,3.2,423,Fair/Good
2049,0.1,2.92,0.42,1.11,3.02,422,Fair/Good
2052,0.11,3.27,0.41,1.04,3.38,424,Fair/Good
2055,0.11,3.64,0.36,1.19,3.75,424,Fair/Good
2061,0.11,3.44,0.38,1,3.55,423,Fair/Good
2064,0.12,3.3,0.53,1.09,3.42,423,Fair/Good
2091,0.11,5.46,0.38,1.23,5.57,416,Good/Good
2094,0.09,4.47,0.38,1.03,4.56,420,Good/Good
2097,0.15,12.31,0.35,1.69,12.46,420,Excellent/Good
2100,0.14,13.06,0.36,2.12,13.2,417,Excellent/Very Good
2103,0.12,16.58,0.37,2.47,16.7,418,Excellent/Very Good
2106,0.14,18.31,0.44,2.7,18.45,417,Excellent/Very Good
2109,0.12,9.65,0.39,1.64,9.77,418,Very Good/Poor
2112,0.2,8.3,0.44,2.19,8.5,421,Very Good/Poor
2115,0.11,8.9,0.39,1.71,9.01,418,Very Good/Poor
2118,0.13,11.48,0.39,1.92,11.61,417,Excellent/Good
2121,0.23,8.98,0.39,1.5,9.21,419,Very Good/Poor
2127,0.2,8.5,0.37,1.58,8.7,420,Very Good/Poor
2133,0.14,5.38,0.33,1.26,5.52,417,Good/Good
2148,0.18,6.43,0.32,1.36,6.61,418,Very Good/Poor
2151,0.18,6.04,0.36,1.35,6.22,418,Very Good/Poor
2154,0.15,5.94,0.35,1.22,6.09,418,Very Good/Poor
2157,0.21,4.15,0.38,0.88,4.36,419,Good/Fair
2160,0.19,3.29,0.4,0.69,3.48,418,Fair
2163,0.1,1.85,1.78,0.72,1.95,425,Poor/Fair
2274,0.1,1.44,0.34,0.38,1.54,416,Poor
2454,0.11,1.29,0.38,0.58,1.4,423,Poor/Fair
2457,0.1,1.48,0.36,0.6,1.58,423,Poor/Fair
2463,0.1,1.53,0.37,0.52,1.63,424,Poor/Fair
2466,0.11,1.77,0.3,0.71,1.88,424,Poor/Fair
2469,0.12,1.82,0.37,0.62,1.94,426,Poor/Fair
2472,0.12,1.82,0.37,0.73,1.94,423,Poor/Fair
2475,0.13,1.94,0.28,0.68,2.07,424,Fair
2478,0.4,2.63,0.43,0.67,3.03,422,Fair
2544,0.23,1.77,0.81,0.66,2,424,Fair
2541,0.23,1.77,0.81,0.65,2,424,Fair
2568,0.11,0.98,0.45,0.52,1.09,427,Poor/Fair
2586,0.11,1.09,0.43,0.53,1.2,424,Poor/Fair
2679,0.12,1.27,0.34,0.53,1.39,429,Poor/Fair
2685,0.12,1.42,0.44,0.6,1.54,428,Poor/Fair
2688,0.12,1.39,0.49,0.58,1.51,429,Poor/Fair
2685,0.12,1.41,0.47,0.59,1.53,428.5,Poor/Fair
2694,0.1,1.19,0.45,0.5,1.29,427,Poor/Fair
2700,0.09,1.07,0.45,0.59,1.16,428,Poor/Fair
2706,0.09,1.34,0.4,0.58,1.43,428,Poor/Fair
2709,0.09,1.31,0.45,0.57,1.4,429,Poor/Fair
2712,0.1,1.62,0.44,0.68,1.72,429,Poor/Fair
2715,0.11,1.77,0.67,0.81,1.88,430,Poor/Fair
2718,0.1,2.37,0.23,1.1,2.47,430,Fair/Good
2721,0.11,2.38,0.59,0.98,2.49,428,Fair
2718,0.11,2.38,0.41,1.04,2.48,429,Fair/Good
2724,0.15,2.43,0.63,0.93,2.58,428,Fair
2730,0.12,1.59,0.62,0.65,1.71,428,Poor/Fair
2733,0.12,1.63,0.52,0.66,1.75,429,Poor/Fair
2736,0.14,2.52,0.49,0.92,2.66,426,Fair
2739,0.1,1.37,0.48,0.5,1.47,428,Poor/Fair
2742,0.1,1.27,0.56,0.51,1.37,428,Poor/Fair
2754,0.14,2.04,0.52,0.7,2.18,427,Fair
2811,0.09,1.96,0.34,0.71,2.05,430,Fair
2814,0.08,1.02,0.4,0.52,1.1,433,Poor/Fair
2811,0.09,1.49,0.37,0.62,1.58,431.5,Poor/Fair
2871,0.11,1.4,0.47,0.76,1.51,433,Poor/Fair
2880,0.08,1.23,0.41,0.61,1.31,431,Poor/Fair
2883,0.1,2.1,0.53,0.94,2.2,432,Fair
2886,0.07,1.11,1.18,0.79,1.18,434,Poor/Fair
2883,0.09,1.61,0.86,0.87,1.69,433,Poor/Fair
2892,0.08,1.26,0.37,0.65,1.34,432,Poor/Fair
2895,0.09,1.69,0.36,0.88,1.78,432,Poor/Fair
2931,0.09,1.21,0.33,0.54,1.3,429,Poor/Fair
2934,0.09,1.7,0.29,0.68,1.79,431,Poor/Fair
2943,0.08,1.16,0.36,0.51,1.24,431,Poor/Fair
2955,0.1,1.6,0.35,0.63,1.7,429,Poor/Fair
2958,0.1,1.83,0.4,0.68,1.93,431,Poor/Fair
2961,0.1,1.81,0.31,0.72,1.91,432,Poor/Fair
2964,0.09,1.68,0.33,0.68,1.77,431,Poor/Fair
2985,0.09,1.45,0.89,0.86,1.54,433,Poor/Fair
2991,0.08,1.21,0.44,0.63,1.29,433,Poor/Fair
2985,0.09,1.33,0.67,0.74,1.42,433,Poor/Fair
3000,0.08,1.33,0.34,0.56,1.41,431,Poor/Fair
3003,0.08,2.08,0.31,0.89,2.16,431,Fair
3006,0.08,1.49,0.36,0.65,1.57,431,Poor/Fair
3009,0.07,1.45,0.38,0.67,1.52,430,Poor/Fair
3012,0.06,1.08,0.34,0.52,1.14,431,Poor/Fair
3018,0.08,1.69,0.4,0.79,1.77,430,Poor/Fair
3021,0.08,1.82,0.49,0.88,1.9,431,Poor/Fair
3045,0.08,0.78,0.6,0.64,0.86,434,Poor/Fair
3045,0.08,0.78,0.6,0.48,0.86,434,Poor
2350,0.52,2,0.24,1.38,2.52,425,Fair/Good
2450,1.91,6.9,0.62,2.38,8.81,428,Very Good/Poor
2550,2.37,8.12,0.59,2.19,10.49,428,Excellent/Very Good
2650,2.74,7.58,0.7,2.57,10.32,427,Excellent/Very Good
2750,1.58,5.35,0.86,1.96,6.93,431,Very Good/Poor
2850,1.56,5.22,0.57,1.68,6.78,434,Very Good/Poor
2950,1.15,5.4,0.35,1.65,6.55,430,Very Good/Poor
3050,1.47,7.16,0.55,1.84,8.63,429,Very Good/Poor
3150,0.67,3.12,0.56,1.16,3.79,425,Fair/Good
3250,0.48,2.4,0.46,1.02,2.88,431,Fair/Good
3350,0.71,4.26,0.66,1.23,4.97,436,Good/Good
3450,0.28,1.44,0.39,0.72,1.72,439,Poor/Fair
3680,0.16,4.11,0.74,1.39,4.27,436,Good/Good
3685,0.15,2.79,0.79,1.08,2.94,439,Fair/Good
3690,0.13,2.16,0.71,1.02,2.29,438,Fair/Good
3695,0.11,1.79,0.72,0.92,1.9,438,Poor/Fair
3700,0.4,2.19,0.82,1.07,2.59,435,Fair/Good
3705,0.17,4.61,0.91,1.49,4.78,440,Good/Good
3710,0.24,4.21,0.75,1.35,4.45,433,Good/Good
3715,0.1,1.44,0.62,0.65,1.54,437,Poor/Fair
3720,0.37,1.59,0.34,0.81,1.96,437,Poor/Fair
3725,0.1,1.96,0.57,0.93,2.06,436,Fair
3730,0.15,2.78,0.56,1.13,2.93,439,Fair/Good
3735,0.09,1.92,0.32,0.97,2.01,441,Fair
3740,0.4,2.2,0.26,1.09,2.6,439,Fair/Good
3745,0.08,2.18,0.38,0.88,2.26,437,Fair
3750,0.33,1.82,0.46,0.82,2.15,438,Fair
3760,0.36,2.58,0.45,0.98,2.94,439,Fair
3770,0.29,1.83,0.85,0.87,2.12,433,Fair
3780,0.12,2.46,0.31,1.16,2.58,442,Fair/Good
3790,0.2,2.75,0.5,1.22,2.95,438,Fair/Good
3800,0.13,2.11,0.43,1.14,2.24,439,Fair/Good
3810,0.09,1.72,0.33,1.12,1.81,439,Poor/Good
3820,0.16,2.4,0.75,1.15,2.56,439,Fair/Good
3825,0.15,3.28,0.48,1.4,3.43,439,Fair/Good
4240,35.6,10.87,1.37,2.18,46.5,441,Excellent/Very Good
4270,33.25,11.35,1.31,1.84,44.6,444,Excellent/Good
4300,36.32,8,1.4,1.7,44.3,438,Excellent/Good
